Iteration,film = A_TimesChosen,film = B_TimesChosen,film = C_TimesChosen
0,0,0,1
1,0,0,2
2,0,1,2
3,0,1,3
4,1,1,3
5,1,1,4
6,1,2,4
7,2,2,4
8,3,2,4
9,4,2,4
10,4,2,5
11,5,2,5
12,6,2,5
13,6,3,5
14,7,3,5
15,8,3,5
16,9,3,5
17,10,3,5
18,11,3,5
19,11,3,6
20,12,3,6
21,12,3,7
22,12,3,8
23,12,4,8
24,12,4,9
25,12,4,10
26,13,4,10
27,14,4,10
28,14,5,10
29,14,6,10
30,15,6,10
31,16,6,10
32,16,7,10
33,16,7,11
34,17,7,11
35,18,7,11
36,19,7,11
37,19,8,11
38,20,8,11
39,20,9,11
40,21,9,11
41,22,9,11
42,23,9,11
43,24,9,11
44,24,10,11
45,24,11,11
46,24,11,12
47,24,12,12
48,24,13,12
49,24,14,12
50,24,15,12
51,25,15,12
52,25,15,13
53,25,16,13
54,25,17,13
55,25,18,13
56,26,18,13
57,26,18,14
58,27,18,14
59,28,18,14
60,28,18,15
61,28,18,16
62,28,18,17
63,28,19,17
64,28,19,18
65,29,19,18
66,30,19,18
67,31,19,18
68,31,20,18
69,31,20,19
70,32,20,19
71,33,20,19
72,33,20,20
73,34,20,20
74,35,20,20
75,36,20,20
76,36,21,20
77,36,22,20
78,37,22,20
79,38,22,20
80,38,23,20
81,38,23,21
82,39,23,21
83,39,23,22
84,40,23,22
85,40,23,23
86,41,23,23
87,41,24,23
88,41,24,24
89,42,24,24
90,42,24,25
91,43,24,25
92,44,24,25
93,44,24,26
94,44,25,26
95,44,26,26
96,45,26,26
97,45,27,26
98,46,27,26
99,46,27,27
100,46,27,28
101,46,28,28
102,46,28,29
103,46,29,29
104,46,29,30
105,46,30,30
106,47,30,30
107,47,31,30
108,48,31,30
109,49,31,30
110,49,31,31
111,49,32,31
112,49,33,31
113,50,33,31
114,50,34,31
115,50,35,31
116,51,35,31
117,52,35,31
118,52,36,31
119,53,36,31
120,53,36,32
121,53,37,32
122,53,37,33
123,53,38,33
124,53,38,34
125,53,39,34
126,54,39,34
127,54,39,35
128,55,39,35
129,56,39,35
130,57,39,35
131,57,40,35
132,58,40,35
133,58,41,35
134,58,42,35
135,59,42,35
